Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/chat [plain],10,0,59000,50575.33429999894,8468.211500003235,70791.19399999036,712.3,0.05836998465643094,0.0,63000,64000,65000,65000,71000,71000,71000,71000,71000,71000,71000
POST,/chat [rag],13,0,33000,46556.50312307542,18734.55359999207,83886.46560002235,1117.076923076923,0.07588098005336022,0.0,33000,68000,70000,71000,73000,84000,84000,84000,84000,84000,84000
,Aggregated,23,0,59000,48303.82102608564,8468.211500003235,83886.46560002235,941.0869565217391,0.13425096470979114,0.0,59000,65000,68000,70000,71000,73000,84000,84000,84000,84000,84000
