Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777911275,7,,Aggregated,0.100000,0.000000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,2,0,19000,21147.594349997235,18734.55359999207,23560.6351000024,791.5
1777911276,7,,Aggregated,0.100000,0.000000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,2,0,19000,21147.594349997235,18734.55359999207,23560.6351000024,791.5
1777911277,7,,Aggregated,0.100000,0.000000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,2,0,19000,21147.594349997235,18734.55359999207,23560.6351000024,791.5
1777911278,7,,Aggregated,0.100000,0.000000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,2,0,19000,21147.594349997235,18734.55359999207,23560.6351000024,791.5
1777911279,7,,Aggregated,0.200000,0.000000,24000,24000,29000,29000,29000,29000,29000,29000,29000,29000,29000,4,0,19000,19972.078150000016,8468.211500003235,29124.91240000236,869.75
1777911280,8,,Aggregated,0.200000,0.000000,24000,24000,29000,29000,29000,29000,29000,29000,29000,29000,29000,4,0,19000,19972.078150000016,8468.211500003235,29124.91240000236,869.75
1777911281,8,,Aggregated,0.200000,0.000000,24000,24000,29000,29000,29000,29000,29000,29000,29000,29000,29000,4,0,19000,19972.078150000016,8468.211500003235,29124.91240000236,869.75
1777911282,8,,Aggregated,0.200000,0.000000,24000,24000,29000,29000,29000,29000,29000,29000,29000,29000,29000,4,0,19000,19972.078150000016,8468.211500003235,29124.91240000236,869.75
1777911283,8,,Aggregated,0.200000,0.000000,24000,24000,29000,29000,29000,29000,29000,29000,29000,29000,29000,4,0,19000,19972.078150000016,8468.211500003235,29124.91240000236,869.75
1777911284,8,,Aggregated,0.300000,0.000000,24000,24000,24000,29000,29000,29000,29000,29000,29000,29000,29000,5,0,24000,20748.545279999962,8468.211500003235,29124.91240000236,933.4
